song name,artist,album,track no,album artist,year
"1, 2, 3 (feat Jason Derulo & De La Ghetto) - Sofia Reyes",Sofia Reyes,Mal De Amores,10,Sofía Reyes,2022
"Aaluma Doluma - Anirudh Ravichander, Badshah","Anirudh Ravichander, Badshah",Vedalam (Original Motion Picture Soundtrack),5,Anirudh Ravichander,2015
"Ae Ajnabi - Udit Narayan, Mahalakshmi Iyer","Udit Narayan, Mahalakshmi Iyer",My Best Collection - Udit Narayan,14,Udit Narayan,2016
"Aeternum - John Lunn, Eivør","John Lunn, Eivør",The Last Kingdom (Original Television Soundtrack),8,"John Lunn, Eivør",2018
"Agar Tum Saath Ho - Alka Yagnik, Arijit Singh","Alka Yagnik, Arijit Singh",Love Forever With Arijit Singh,14,Arijit Singh,2017
"Ale Ale - AR Rahman, Karthik, Chitra Sivaraman, Siddharth, Genelia D'Souza","AR Rahman, Karthik, Chitra Sivaraman, Siddharth, Genelia D'Souza",Boys,3,A.R. Rahman,2003
"Annul Maelae - Harris Jayaraj, Sudha Ragunathan","Harris Jayaraj, Sudha Ragunathan",Vaaranam Aayiram (Original Motion Picture Soundtrack),7,Harris Jayaraj,2008
"Apna Bana Le - Arijit Singh, Sachin-Jigar","Arijit Singh, Sachin-Jigar",Apna Bana Le (LoFi),1,Arpita Majumder,2023
Apocalypse - Cigarettes After Sex,Cigarettes After Sex,Cigarettes After Sex,4,Cigarettes After Sex,2017
"Arabic Kuthu - Halamithi Habibo - Anirudh Ravichander, Jonita Gandhi","Halamithi Habibo - Anirudh Ravichander, Jonita Gandhi","Arabic Kuthu - Halamithi Habibo (From ""Beast"")",1,"Anirudh Ravichander, Jonita Gandhi",2022
Armatopia - Johnny Marr,Johnny Marr,Johnny's Greatest Hits,1,Johnny Mathis,1958
Battle Cry - Imagine Dragons,Imagine Dragons,Smoke + Mirrors (Deluxe),19,Imagine Dragons,2015
Battle Symphony - Linkin Park,Linkin Park,One More Light,4,Linkin Park,2017
Believer - Imagine Dragons,Imagine Dragons,Evolve,4,Imagine Dragons,2017
Black Water Lilies - Aurora,Aurora,All My Demons Greeting Me as a Friend (Deluxe),12,AURORA,2014
Blank - Disfigure,Disfigure,Blank,1,Disfigure,2013
Blue Jeans (Remastered 2011) - Lana Del Rey,Lana Del Rey,Born To Die - The Paradise Edition,3,Lana Del Rey,2012
Bones - Imagine Dragons,Imagine Dragons,Mercury - Acts 1 & 2,1,Imagine Dragons,2022
Born To Die - Lana Del Rey,Lana Del Rey,Born To Die - The Paradise Edition,1,Lana Del Rey,2012
Can We Kiss Forever (Instrumental) - Kinà,Kinà,I'm Ready,1,Tevin Campbell,1993
Can We Kiss Forever - Kinà,Kinà,Can We Kiss Forever?,1,"Kina, Adriana Proenza",2018
"Chahun Main Ya Naa - Palak Muchhal, Arijit Singh","Palak Muchhal, Arijit Singh",Best Of Palak Muchhal,7,Palak Muchhal,2020
"Chaiyya Chaiyya - Sukhwinder Singh, Sapna Awasthi","Sukhwinder Singh, Sapna Awasthi",Bollywood's Musical Extravaganza - Sonu Nigam & Sukhwinder Singh,11,"Sonu Nigam, Sukhwinder Singh",2016
"Chammak Challo - Vishal & Shekhar, Akon","Vishal & Shekhar, Akon",Ra-One,1,Vishal-Shekhar,2011
Chinna Chinna Asai - Minmini,Minmini,Roja,5,A.R. Rahman,2014
Chittiyaan Kalaiyaan - Meet Bros,Meet Bros,Roy,3,"Amaal Mallik, Ankit Tiwari, Meet Bros Anjjan",2015
"Chop Shop - Tyler Bates, Joel J Richard","Tyler Bates, Joel J Richard",John Wick (Original Motion Picture Soundtrack),11,Various Artists,2014
Cold - Neffex,Neffex,Cold,1,NEFFEX,2018
Crystallize - Lindsey Stirling,Lindsey Stirling,Lindsey Stirling,3,Lindsey Stirling,2012
"Darkside - Alan Walker, AuRa, Tomine Harket","Alan Walker, AuRa, Tomine Harket",Different World,11,Alan Walker,2018
Desi Kalakaar - Yo Yo Honey Singh,Yo Yo Honey Singh,Desi Kalakaar,1,"Yo Yo Honey Singh, Lil Golu",2014
"Despacito - Luis Fonsi, Daddy Yankee","Luis Fonsi, Daddy Yankee",VIDA,9,Luis Fonsi,2019
