ID,song name,file_path
1790,"1, 2, 3 (feat Jason Derulo & De La Ghetto) - Sofia Reyes",audio/1_2_3_feat_Jason_Derulo__De_La_Ghetto_-_Sofia_Reyes.m4a
1892,"Aaluma Doluma - Anirudh Ravichander, Badshah",audio/Aaluma_Doluma_-_Anirudh_Ravichander_Badshah.m4a
1789,"Ae Ajnabi - Udit Narayan, Mahalakshmi Iyer",audio/Ae_Ajnabi_-_Udit_Narayan_Mahalakshmi_Iyer.m4a
1742,"Aeternum - John Lunn, Eivør",audio/Aeternum_-_John_Lunn_Eivør.m4a
1716,"Agar Tum Saath Ho - Alka Yagnik, Arijit Singh",audio/Agar_Tum_Saath_Ho_-_Alka_Yagnik_Arijit_Singh.m4a
1902,"Ale Ale - AR Rahman, Karthik, Chitra Sivaraman, Siddharth, Genelia D'Souza",audio/Ale_Ale_-_AR_Rahman_Karthik_Chitra_Sivaraman_Siddharth_Genelia_DSouza.m4a
1806,"Annul Maelae - Harris Jayaraj, Sudha Ragunathan",audio/Annul_Maelae_-_Harris_Jayaraj_Sudha_Ragunathan.m4a
1826,"Apna Bana Le - Arijit Singh, Sachin-Jigar",audio/Apna_Bana_Le_-_Arijit_Singh_Sachin-Jigar.m4a
1743,Apocalypse - Cigarettes After Sex,audio/Apocalypse_-_Cigarettes_After_Sex.m4a
1741,"Arabic Kuthu - Halamithi Habibo - Anirudh Ravichander, Jonita Gandhi",audio/Arabic_Kuthu_-_Halamithi_Habibo_-_Anirudh_Ravichander_Jonita_Gandhi.m4a
1897,Armatopia - Johnny Marr,audio/Armatopia_-_Johnny_Marr.m4a
1817,Battle Cry - Imagine Dragons,audio/Battle_Cry_-_Imagine_Dragons.m4a
1764,Battle Symphony - Linkin Park,audio/Battle_Symphony_-_Linkin_Park.m4a
1782,Believer - Imagine Dragons,audio/Believer_-_Imagine_Dragons.m4a
1729,Black Water Lilies - Aurora,audio/Black_Water_Lilies_-_Aurora.m4a
1907,Blank - Disfigure,audio/Blank_-_Disfigure.m4a
1830,Blue Jeans (Remastered 2011) - Lana Del Rey,audio/Blue_Jeans_Remastered_2011_-_Lana_Del_Rey.m4a
1784,Bones - Imagine Dragons,audio/Bones_-_Imagine_Dragons.m4a
1855,Born To Die - Lana Del Rey,audio/Born_To_Die_-_Lana_Del_Rey.m4a
1837,Can We Kiss Forever (Instrumental) - Kinà,audio/Can_We_Kiss_Forever_Instrumental_-_Kinà.m4a
1818,Can We Kiss Forever - Kinà,audio/Can_We_Kiss_Forever_-_Kinà.m4a
1762,"Chahun Main Ya Naa - Palak Muchhal, Arijit Singh",audio/Chahun_Main_Ya_Naa_-_Palak_Muchhal_Arijit_Singh.m4a
1746,"Chaiyya Chaiyya - Sukhwinder Singh, Sapna Awasthi",audio/Chaiyya_Chaiyya_-_Sukhwinder_Singh_Sapna_Awasthi.m4a
1815,"Chammak Challo - Vishal & Shekhar, Akon",audio/Chammak_Challo_-_Vishal__Shekhar_Akon.m4a
1906,Chinna Chinna Asai - Minmini,audio/Chinna_Chinna_Asai_-_Minmini.m4a
1765,Chittiyaan Kalaiyaan - Meet Bros,audio/Chittiyaan_Kalaiyaan_-_Meet_Bros.m4a
1829,"Chop Shop - Tyler Bates, Joel J Richard",audio/Chop_Shop_-_Tyler_Bates_Joel_J_Richard.m4a
1732,Cold - Neffex,audio/Cold_-_Neffex.m4a
