song name,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,tonal,voice_female,voice_male,instrumental,voice,tempo
"1, 2, 3 (feat Jason Derulo & De La Ghetto) - Sofia Reyes",0.7151723,0.19174862,0.10178887,0.47819328,0.38198954,0.76869076,0.59642637,0.386933,0.8967132,0.2555825,0.74441755,0.08851025,0.91149,95.0
"Aaluma Doluma - Anirudh Ravichander, Badshah",0.58833164,0.12729836,0.34961334,0.44391808,0.22667098,0.7330128,0.59213597,0.375451,0.7697245,0.47331297,0.52668697,0.320809,0.67919123,121.0
"Ae Ajnabi - Udit Narayan, Mahalakshmi Iyer",0.17084077,0.63635576,0.019830178,0.12472992,0.17025888,0.26849547,0.94530195,0.7817528,0.8323617,0.22137398,0.7786264,0.14190558,0.85809445,121.0
"Aeternum - John Lunn, Eivør",0.07463102,0.52122104,0.03947295,0.26860407,0.037312992,0.07228715,0.9807218,0.90892166,0.5890565,0.51909286,0.48090714,0.6342247,0.36577532,154.0
"Agar Tum Saath Ho - Alka Yagnik, Arijit Singh",0.44186652,0.34436148,0.01800273,0.23596251,0.21026933,0.40077117,0.9092479,0.7827219,0.77092427,0.53012276,0.46987715,0.2782502,0.7217497,61.0
"Ale Ale - AR Rahman, Karthik, Chitra Sivaraman, Siddharth, Genelia D'Souza",0.57912195,0.18865436,0.0730096,0.20350875,0.3707624,0.67560685,0.70261556,0.4668393,0.8187447,0.34312144,0.6568784,0.19159289,0.80840707,87.0
"Annul Maelae - Harris Jayaraj, Sudha Ragunathan",0.3430882,0.56394094,0.030755255,0.2544058,0.18456918,0.20090984,0.9362249,0.73841435,0.77799636,0.4337168,0.56628335,0.26364946,0.73635083,116.0
"Apna Bana Le - Arijit Singh, Sachin-Jigar",0.347499,0.36980274,0.03688817,0.1851628,0.23149076,0.4136245,0.8536561,0.74253416,0.75790554,0.4103703,0.5896297,0.15574864,0.84425104,94.0
Apocalypse - Cigarettes After Sex,0.16572662,0.36303845,0.027089909,0.29756367,0.049396526,0.12737815,0.9795781,0.8596706,0.8083884,0.34316945,0.6568309,0.39297584,0.60702425,140.0
"Arabic Kuthu - Halamithi Habibo - Anirudh Ravichander, Jonita Gandhi",0.742629,0.12867178,0.121716574,0.4055446,0.32591984,0.80236113,0.5570505,0.3350932,0.7978259,0.33762133,0.66237843,0.17147908,0.8285211,93.0
Armatopia - Johnny Marr,0.5205199,0.057786435,0.43980926,0.34804943,0.38258943,0.42259935,0.33346853,0.32581782,0.9498642,0.24636555,0.7536346,0.2786603,0.7213395,63.0
Battle Cry - Imagine Dragons,0.12354077,0.36283243,0.27642232,0.16363879,0.06893269,0.28254032,0.77313286,0.6793585,0.8603538,0.3604077,0.6395921,0.23393781,0.7660621,130.0
Battle Symphony - Linkin Park,0.4114839,0.21895246,0.1583545,0.23669583,0.17989236,0.4972418,0.7524701,0.6002433,0.8292866,0.41780293,0.58219707,0.14086121,0.85913867,75.0
Believer - Imagine Dragons,0.4947182,0.13907535,0.24140953,0.40657458,0.16980901,0.6270545,0.7090741,0.46438542,0.8276432,0.31871656,0.6812835,0.1959696,0.80403054,94.0
Black Water Lilies - Aurora,0.29004765,0.40681073,0.046830524,0.2650345,0.101112485,0.23585744,0.9253383,0.7816271,0.8364896,0.6069947,0.39300522,0.2862802,0.71371955,121.0
Blank - Disfigure,0.7503847,0.14820859,0.11157466,0.6062379,0.4487263,0.6813812,0.50842613,0.4760298,0.7096926,0.50402826,0.49597165,0.5276479,0.47235206,70.0
